id;numero_proposta;data_proposta;valor_proposta;status
1;deposit neutral;2021-05-10;89100;ATIVO
2;Sapatos Global;2021-05-10;22195;CANCELADO
3;generate Aço verde-azulado;2021-05-10;49987;ATIVO
4;back-end quantifying Market;2021-05-10;84237;ATIVO
5;invoice back driver;2021-05-10;76759;CANCELADO
6;invoice Rua;2021-05-10;66814;PENDENTE
7;feed;2021-05-10;51499;CANCELADO
8;archive Architect platforms;2021-05-10;22488;PENDENTE
9;Chief;2021-05-10;74315;PENDENTE
10;Lindo solution Group;2021-05-10;94106;CANCELADO
